Issue Type,Summary,Description,Epic Link,Epic Name,Sprint,Assignee,Priority
Task,Thiết kế bản vẽ Wireframe & UI Mockup trên Figma cho toàn bộ hệ thống,Thiết kế giao diện Figma cho Trang chủ Trang kết quả chuyến bay Sơ đồ ghế tương tác Trang thanh toán và Thẻ Boarding Pass.,Database & Flight Core,,Sprint 2,Dev 2,Medium
Story,Xây dựng API Quản lý Sân bay & Tuyến bay phổ biến (GET /api/airports),API lấy danh sách sân bay có hỗ trợ tìm kiếm autocomplete theo tên thành phố hoặc mã IATA (HAN SGN DAD PQC).,Database & Flight Core,,Sprint 2,Dev 2,High
Story,Xây dựng API Tạo đơn Đặt vé (POST /api/bookings) & Lưu mã PNR,Tiếp nhận thông tin đặt vé lưu danh sách hành khách liên kết số ghế đã chọn tính tổng tiền và sinh mã đặt chỗ PNR 6 ký tự ngẫu nhiên.,Booking & Payment,,Sprint 3,Dev 1,Highest
Story,Xây dựng API Dịch vụ bổ trợ: Mua thêm hành lý suất ăn và bảo hiểm,API GET /api/services và liên kết các gói hành lý ký gửi (20kg 30kg) chọn suất ăn nóng trên chuyến bay và bảo hiểm du lịch.,Booking & Payment,,Sprint 3,Dev 2,High
Story,Xây dựng Engine Thanh toán mô phỏng & Xử lý thanh toán lại (Payment Retry),Tích hợp quy trình thanh toán mô phỏng thẻ/cổng thanh toán xử lý callback cập nhật trạng thái đơn vé và chức năng thanh toán lại khi thất bại.,Booking & Payment,,Sprint 3,Dev 1,Highest
Story,Xây dựng API Check-in Trực tuyến & Tạo mã QR Code Boarding Pass,Endpoint POST /api/check-in: Tra cứu PNR đổi chỗ ngồi check-in xác nhận hoàn tất thủ tục và sinh mã QR Code thẻ lên tàu bay.,Booking & Payment,,Sprint 3,Dev 2,Highest
Task,Tích hợp dịch vụ Mail gửi vé điện tử (E-ticket) & Thẻ lên tàu bay QR,Tự động gửi email đính kèm thông tin chuyến bay mã PNR sau khi thanh toán và email gửi thẻ lên tàu bay (Boarding Pass) sau khi check-in.,Booking & Payment,,Sprint 3,Dev 1,High
Task,Cấu hình Gemini AI API & Thiết kế Prompt Engineering nghiệp vụ bay,Tích hợp Google Gemini 2.5 Flash API xây dựng System Prompt chuyên biệt cho trợ lý SkyLink Airline trả lời chuyên nghiệp chính xác.,SkyAI & Loyalty,,Sprint 4,Dev 1,High
Story,Xây dựng kiến trúc RAG tích hợp Qdrant Vector DB nhúng quy định bay,Chuyển đổi tài liệu điều lệ hàng không quy định hành lý xách tay/ký gửi thành Vector Embeddings lưu trữ trên Qdrant để truy xuất chính xác.,SkyAI & Loyalty,,Sprint 4,Dev 1,Highest
Story,Xây dựng API Streaming Realtime cho Chatbot (POST /api/ai/chat/stream),Phát triển endpoint stream phản hồi từ AI theo thời gian thực (Server-Sent Events) kèm trích xuất thẻ thông tin chuyến bay gợi ý.,SkyAI & Loyalty,,Sprint 4,Dev 1,High
Story,Xây dựng API Phân hệ Hội viên SkyClub: Tích lũy dặm & Hạng thẻ,Tính toán dặm bay sau mỗi chuyến bay hoàn thành tự động nâng hạng thẻ (Silver Gold Diamond) và ưu đãi đặc quyền cho hội viên.,SkyAI & Loyalty,,Sprint 4,Dev 2,High
Story,Xây dựng API Quản lý Mã giảm giá (Promotions) & Áp dụng Voucher,Tạo mã voucher khuyến mãi giảm theo phần trăm hoặc số tiền cố định kiểm tra điều kiện áp dụng và trừ tiền trực tiếp vào đơn đặt vé.,SkyAI & Loyalty,,Sprint 4,Dev 2,Medium
Story,Xây dựng API Quản lý Hồ sơ cá nhân (User Profile) & Đổi/Hủy vé máy bay,Cập nhật thông tin tài khoản tra cứu lịch sử đặt vé GET /api/my-bookings gửi yêu cầu đổi chuyến bay (reschedule) hoặc hủy vé.,SkyAI & Loyalty,,Sprint 4,Dev 2,High
Story,Phát triển Trang chủ (HomePage) & Form Tìm kiếm Chuyến bay tương tác cao,Giao diện tìm kiếm vé máy bay trực quan: chọn khứ hồi/một chiều autocomplete sân bay đi/đến chọn ngày bay số khách và hạng vé.,Frontend & Admin UI,,Sprint 5,Dev 2,Highest
Story,Phát triển Trang Kết quả Chuyến bay (Flight Results) & Bộ lọc thông minh,Hiển thị danh sách chuyến bay với đầy đủ giờ cất cánh/hạ cánh giá vé theo từng hạng. Bộ lọc đa tiêu chí theo giá giờ bay và hãng bay.,Frontend & Admin UI,,Sprint 5,Dev 2,Highest
Story,Phát triển Giao diện Sơ đồ chọn ghế trực quan (Interactive Seat Map),Hiển thị sơ đồ máy bay tương tác trực quan: phân biệt màu ghế Thương gia / Phổ thông / Ghế đã bán đồng hồ đếm ngược 10 phút khóa ghế.,Frontend & Admin UI,,Sprint 5,Dev 2,Highest
Story,Phát triển Trang Dịch vụ bổ trợ Tóm tắt đơn hàng & Thanh toán (Checkout),Giao diện chọn thêm hành lý suất ăn và bảo hiểm. Trang thanh toán hiển thị chi tiết giá vé thuế phí và giao diện xác nhận thanh toán.,Frontend & Admin UI,,Sprint 5,Dev 2,High
Story,Phát triển Trang Check-in Online & Hiển thị Thẻ lên máy bay QR Code,Form nhập mã đặt chỗ PNR để làm thủ tục check-in trực tuyến chọn lại chỗ ngồi và hiển thị thẻ lên máy bay Boarding Pass có mã QR để quét.,Frontend & Admin UI,,Sprint 5,Dev 2,High
Task,Tích hợp Widget Trợ lý ảo SkyAI Chat vào Website với gợi ý câu hỏi nhanh,Xây dựng Chat Widget ở góc phải màn hình: hỗ trợ stream Markdown câu trả lời nút câu hỏi gợi ý nhanh và hiển thị thẻ chuyến bay.,Frontend & Admin UI,,Sprint 5,Dev 1,High
Story,Xây dựng Admin Dashboard: Thống kê doanh thu Quản lý chuyến bay & Đặt vé,Giao diện quản trị Admin: biểu đồ doanh thu quản lý danh sách chuyến bay duyệt trạng thái đặt chỗ và quản lý danh sách khách hàng.,Frontend & Admin UI,,Sprint 5,Dev 1,Highest
Task,Viết Dockerfile tối ưu cho Backend Laravel (PHP-FPM) và Frontend ReactJS,Xây dựng Dockerfile đa tầng (multi-stage build) cho Laravel PHP 8.2-FPM và Nginx Alpine phục vụ Frontend React bundle.,DevOps & QA,,Sprint 6,Dev 1,High
Task,Cấu hình docker-compose.yml khởi chạy trọn bộ toàn bộ hệ sinh thái SkyLink,Khởi chạy đồng bộ qua Docker Compose: Nginx Gateway Laravel Backend React Client MySQL 8.0 Redis và Qdrant Vector DB.,DevOps & QA,,Sprint 6,Dev 1,Highest
Story,Thiết lập CI/CD Pipeline tự động kiểm thử và deploy với GitHub Actions,Cấu hình workflow .github/workflows/deploy.yml tự động lint chạy unit test khi tạo PR và tự động SSH deploy lên VPS khi merge main.,DevOps & QA,,Sprint 6,Dev 1,High
Task,Cấu hình Máy chủ VPS: Nginx Reverse Proxy Domain & Chứng chỉ SSL HTTPS,Cài đặt Nginx trên VPS trỏ domain chính thức phân phối tải cho Backend API và Frontend cấp chứng chỉ SSL Let Encrypt tự động.,DevOps & QA,,Sprint 6,Dev 1,Highest
Story,Kiểm thử Tải trọng (Stress Test với k6) kịch bản 500 người đặt vé đồng thời,Viết kịch bản kiểm thử k6 giả lập 500 người dùng đồng thời tìm chuyến bay và chọn ghế đánh giá độ trễ và khả năng chịu tải của hệ thống.,DevOps & QA,,Sprint 6,Dev 2,High
Story,Kiểm thử E2E toàn diện: Tìm chuyến bay -> Chọn ghế -> Thanh toán -> Check-in QR,Kiểm thử khép kín toàn bộ hành trình người dùng: Tìm kiếm vé -> Khóa ghế -> Thanh toán thành công -> Nhận vé Email -> Check-in sinh mã QR.,DevOps & QA,,Sprint 6,Dev 2,Highest
